AAM,lograte
[H:1][O:2][C:3]([H:4])([H:5])[H:6].[O:7]>>[H:1][O:2][C:3]([H:4])[H:5].[H:6][O:7],6.924693479077077
[H:1][O:2][C:3]([H:4])([H:5])[H:6].[O:7][H:8]>>[H:1][O:2][C:3]([H:4])[H:5].[H:6][O:7][H:8],6.379462330654555
[H:1][O:2][C:3]([H:4])([H:5])[H:6].[O:7][O:8][H:9]>>[H:1][O:2][C:3]([H:4])[H:5].[H:6][O:7][O:8][H:9],2.081212558292253
[H:1][C:2]([H:3])[H:4].[H:5][O:6][C:7]([H:8])([H:9])[H:10]>>[H:1][C:2]([H:3])([H:4])[H:10].[H:5][O:6][C:7]([H:8])[H:9],3.1966260474875257
[H:1].[H:2][C:3]([H:4])([H:5])[H:6]>>[H:1][H:6].[H:2][C:3]([H:4])[H:5],4.670124874556399
[H:1][C:2]([H:3])([H:4])[H:5].[O:6][H:7]>>[H:1][C:2]([H:3])[H:4].[H:5][O:6][H:7],5.681178441153522
[H:1][C:2]([H:3])([H:4])[H:5].[O:6]>>[H:1][C:2]([H:3])[H:4].[H:5][O:6],5.548412932226711
[H:1][C:2]([H:3])[H:4].[O:5][H:6]>>[H:1][C:2][H:3].[H:4][O:5][H:6],5.793597228680189
[O:1]=[C:2]([H:3])[H:4].[O:5][O:6][C:7]([H:8])([H:9])[H:10]>>[H:4][O:5][O:6][C:7]([H:8])([H:9])[H:10].[O:1]=[C:2][H:3],2.7031219289005968
[H:1][C:2]([H:3])([H:4])[H:5].[O:6][O:7][C:8]([H:9])([H:10])[H:11]>>[H:1][C:2]([H:3])[H:4].[H:5][O:6][O:7][C:8]([H:9])([H:10])[H:11],0.12147681432179065
[H:1][O:2][C:3]([H:4])([H:5])[H:6].[O:7][O:8][C:9]([H:10])([H:11])[H:12]>>[H:1][O:2][C:3]([H:4])[H:5].[H:6][O:7][O:8][C:9]([H:10])([H:11])[H:12],1.1032842776765506
[H:1][C:2][H:3].[H:4][H:5]>>[H:1][C:2]([H:3])[H:5].[H:4],5.2441777356746195
[H:1].[H:2][C:3]([H:4])([H:5])[C:6]([H:7])([H:8])[H:9]>>[H:1][H:9].[H:2][C:3]([H:4])([H:5])[C:6]([H:7])[H:8],5.2838099932569405
[H:1][C:2]([H:3])([H:4])[C:5]([H:6])([H:7])[H:8].[O:9]>>[H:1][C:2]([H:3])([H:4])[C:5]([H:6])[H:7].[H:8][O:9],6.60178362184493
[H:1][C:2]([H:3])([H:4])[C:5]([H:6])([H:7])[H:8].[O:9][H:10]>>[H:1][C:2]([H:3])([H:4])[C:5]([H:6])[H:7].[H:8][O:9][H:10],6.079700257147911
[H:1][C:2]([H:3])([H:4])[C:5]([H:6])([H:7])[H:8].[H:9][C:10]([H:11])[H:12]>>[H:1][C:2]([H:3])([H:4])[C:5]([H:6])[H:7].[H:8][C:10]([H:9])([H:11])[H:12],2.803154747520585
[H:1][C:2]([H:3])([H:4])[C:5]([H:6])([H:7])[H:8].[O:9][O:10][H:11]>>[H:1][C:2]([H:3])([H:4])[C:5]([H:6])[H:7].[H:8][O:9][O:10][H:11],1.9141395445266347
[H:1][C:2]([H:3])([H:4])[C:5]([H:6])([H:7])[H:8].[O:9][O:10][C:11]([H:12])([H:13])[H:14]>>[H:1][C:2]([H:3])[C:5]([H:6])([H:7])[H:8].[H:4][O:9][O:10][C:11]([H:12])([H:13])[H:14],0.5551894146342807
[H:1][C:2]([H:3])([H:4])[C:5]([H:6])([H:7])[H:8].[H:9][C:10][H:11]>>[H:1][C:2]([H:3])([H:4])[C:5]([H:6])[H:7].[H:8][C:10]([H:9])[H:11],4.248794066499498
[H:1][H:2].[O:3][O:4][C:5]([H:6])([H:7])[H:8]>>[H:1].[H:2][O:3][O:4][C:5]([H:6])([H:7])[H:8],0.7805724414392331
[H:1][H:2].[O:3][O:4][C:5]([H:6])([H:7])[C:8]([H:9])([H:10])[H:11]>>[H:1].[H:2][O:3][O:4][C:5]([H:6])([H:7])[C:8]([H:9])([H:10])[H:11],0.7178939156595119
[H:1][C:2]([H:3])[H:4].[O:5]=[C:6]([H:7])[H:8]>>[H:1][C:2]([H:3])([H:4])[C:6]([O:5])([H:7])[H:8],3.4405155194632475
[H:1].[O:2]=[C:3]([H:4])[C:5]([H:6])([H:7])[H:8]>>[H:1][C:3]([O:2])([H:4])[C:5]([H:6])([H:7])[H:8],5.686744845096791
[O:1]=[C:2]([H:3])[H:4].[O:5][O:6][C:7]([H:8])([H:9])[C:10]([H:11])([H:12])[H:13]>>[H:4][O:5][O:6][C:7]([H:8])([H:9])[C:10]([H:11])([H:12])[H:13].[O:1]=[C:2][H:3],2.7998049630738895
[H:1][O:2][C:3]([H:4])([H:5])[H:6].[O:7][O:8][C:9]([H:10])([H:11])[C:12]([H:13])([H:14])[H:15]>>[H:1][O:2][C:3]([H:4])[H:5].[H:6][O:7][O:8][C:9]([H:10])([H:11])[C:12]([H:13])([H:14])[H:15],1.1975555877635207
[H:1][C:2]([H:3])([H:4])[C:5]([H:6])([H:7])[H:8].[O:9][O:10][C:11]([H:12])([H:13])[C:14]([H:15])([H:16])[H:17]>>[H:1][C:2]([H:3])[C:5]([H:6])([H:7])[H:8].[H:4][O:9][O:10][C:11]([H:12])([H:13])[C:14]([H:15])([H:16])[H:17],-0.05476868411997515
[H:1][C:2]([H:3])=[C:4]([H:5])[H:6].[O:7][O:8][H:9]>>[H:1][C:2]([H:3])[C:4]([H:5])([H:6])[O:7][O:8][H:9],1.4138596462495314
[H:1][C:2]1([H:3])[O:4][C:5]1([H:6])[H:7].[O:8][H:9]>>[H:1][C:2]1([H:3])[O:4][C:5]1[H:6].[H:7][O:8][H:9],6.059243924106715
[H:1].[H:2][C:3]1([H:4])[O:5][C:6]1([H:7])[H:8]>>[H:1][H:8].[H:2][C:3]1([H:4])[O:5][C:6]1[H:7],4.908076076468794
[H:1][C:2]1([H:3])[O:4][C:5]1([H:6])[H:7].[O:8][O:9][H:10]>>[H:1][C:2]1([H:3])[O:4][C:5]1[H:6].[H:7][O:8][O:9][H:10],0.9785334095647091
[H:1][C:2]1([H:3])[O:4][C:5]1([H:6])[H:7].[O:8][O:9][C:10]([H:11])([H:12])[H:13]>>[H:1][C:2]1([H:3])[O:4][C:5]1[H:6].[H:7][O:8][O:9][C:10]([H:11])([H:12])[H:13],0.28384542544821
[H:1][C:2]1([H:3])[O:4][C:5]1([H:6])[H:7].[O:8][O:9][C:10]([H:11])([H:12])[C:13]([H:14])([H:15])[H:16]>>[H:1][C:2]1([H:3])[O:4][C:5]1[H:6].[H:7][O:8][O:9][C:10]([H:11])([H:12])[C:13]([H:14])([H:15])[H:16],0.858592113898483
[H:1][C:2]([H:3])[H:4].[H:5][C:6]1([H:7])[O:8][C:9]1([H:10])[H:11]>>[H:1][C:2]([H:3])([H:4])[H:7].[H:5][C:6]1[O:8][C:9]1([H:10])[H:11],2.591401747893851
[H:1][C:2]1([H:3])[O:4][C:5]1([H:6])[H:7].[O:8][C:9]([H:10])([H:11])[H:12]>>[H:1][C:2]1([H:3])[O:4][C:5]1[H:6].[H:7][O:8][C:9]([H:10])([H:11])[H:12],3.401366053529937
[H:1].[O:2]=[C:3]([H:4])[C:5]([H:6])([H:7])[H:8]>>[H:1][H:4].[O:2]=[C:3][C:5]([H:6])([H:7])[H:8],6.885322310700398
[H:1].[O:2]=[C:3]([H:4])[C:5]([H:6])([H:7])[H:8]>>[H:1][H:8].[O:2]=[C:3]([H:4])[C:5]([H:6])[H:7],5.278826175284144
[H:1][C:2]([H:3])[H:4].[O:5]=[C:6]([H:7])[C:8]([H:9])([H:10])[H:11]>>[H:1][C:2]([H:3])([H:4])[H:7].[O:5]=[C:6][C:8]([H:9])([H:10])[H:11],4.050371037656144
[O:1]=[C:2]([H:3])[C:4]([H:5])([H:6])[H:7].[O:8][O:9][H:10]>>[H:3][O:8][O:9][H:10].[O:1]=[C:2][C:4]([H:5])([H:6])[H:7],3.3595950380671225
[O:1]=[C:2]([H:3])[C:4]([H:5])([H:6])[H:7].[O:8][O:9][C:10]([H:11])([H:12])[H:13]>>[H:3][O:8][O:9][C:10]([H:11])([H:12])[H:13].[O:1]=[C:2][C:4]([H:5])([H:6])[H:7],2.856488537136612
[O:1]=[C:2]([H:3])[C:4]([H:5])([H:6])[H:7].[O:8][O:9][C:10](=[O:11])[C:12]([H:13])([H:14])[H:15]>>[H:3][O:8][O:9][C:10](=[O:11])[C:12]([H:13])([H:14])[H:15].[O:1]=[C:2][C:4]([H:5])([H:6])[H:7],4.2090449110923895
[O:1]=[C:2]([H:3])[C:4]([H:5])([H:6])[H:7].[O:8][H:9]>>[H:7][O:8][H:9].[O:1]=[C:2]([H:3])[C:4]([H:5])[H:6],5.975276390799651
[H:1][O:2][O:3][H:4].[O:5][O:6][C:7](=[O:8])[C:9]([H:10])([H:11])[H:12]>>[H:1][O:5][O:6][C:7](=[O:8])[C:9]([H:10])([H:11])[H:12].[O:2][O:3][H:4],3.499127695681069
[O:1]=[C:2]([H:3])[H:4].[O:5][O:6][C:7](=[O:8])[C:9]([H:10])([H:11])[H:12]>>[H:4][O:5][O:6][C:7](=[O:8])[C:9]([H:10])([H:11])[H:12].[O:1]=[C:2][H:3],4.356337584367277
[H:1][C:2]([H:3])([H:4])[C:5]([H:6])([H:7])[H:8].[O:9][O:10][C:11](=[O:12])[C:13]([H:14])([H:15])[H:16]>>[H:1][C:2]([H:3])[C:5]([H:6])([H:7])[H:8].[H:4][O:9][O:10][C:11](=[O:12])[C:13]([H:14])([H:15])[H:16],2.202378389244981
[H:1][C:2]([H:3])[H:4].[O:5]=[C:6]=[O:7]>>[H:1][C:2]([H:3])([H:4])[C:6](=[O:5])[O:7],0.900901262570977
[H:1].[O:2]=[C:3]=[C:4]([H:5])[H:6]>>[H:1][C:3](=[O:2])[C:4]([H:5])[H:6],5.428806390763635
[O:1][O:2][C:3]([H:4])([H:5])[C:6](=[O:7])[H:8]>>[O:1]([O:2][C:3]([H:4])([H:5])[C:6]=[O:7])[H:8],8.166367649995362
[O:1]=[C:2]=[C:3]([H:4])[H:5].[O:6][O:7][H:8]>>[O:1]=[C:2][C:3]([H:4])([H:5])[O:6][O:7][H:8],1.3996062269138856
[H:1].[O:2]=[C:3]=[C:4]([H:5])[H:6]>>[H:1][C:4]([C:3]=[O:2])([H:5])[H:6],6.198758046154155
[H:1].[O:2]=[C:3]=[C:4]([H:5])[H:6]>>[H:1][H:6].[O:2]=[C:3]=[C:4][H:5],5.083319311010528
[O:1]=[C:2]=[C:3]([H:4])[H:5].[O:6][H:7]>>[H:5][O:6][H:7].[O:1]=[C:2]=[C:3][H:4],5.316111166619366
[H:1].[H:2][C:3]([H:4])=[C:5]([H:6])[H:7]>>[H:1][H:7].[H:2][C:3]([H:4])=[C:5][H:6],4.236035980751261
[H:1][C:2]([H:3])=[C:4]([H:5])[H:6].[O:7][H:8]>>[H:1][C:2]([H:3])=[C:4][H:5].[H:6][O:7][H:8],5.558658062296027
[H:1][C:2]([H:3])[H:4].[H:5][O:6][C:7]([H:8])=[C:9]([H:10])[H:11]>>[H:1][C:2]([H:3])([H:4])[H:5].[O:6][C:7]([H:8])=[C:9]([H:10])[H:11],3.5092555992744794
[H:1].[H:2][O:3][C:4]([H:5])=[C:6]([H:7])[H:8]>>[H:1][H:2].[O:3][C:4]([H:5])=[C:6]([H:7])[H:8],4.974134849466305
[H:1].[H:2][O:3][C:4]([H:5])=[C:6]([H:7])[H:8]>>[H:1][H:8].[H:2][O:3][C:4]([H:5])=[C:6][H:7],4.445898250815153
[H:1].[H:2][O:3][C:4]([H:5])=[C:6]([H:7])[H:8]>>[H:1][C:4]([O:3][H:2])([H:5])[C:6]([H:7])[H:8],5.7637666309586
[H:1][C:2]([H:3])=[C:4]([H:5])[H:6].[H:7][C:8]([H:9])[H:10]>>[H:1][C:2]([H:3])=[C:4][H:5].[H:6][C:8]([H:7])([H:9])[H:10],2.086732752779969
[H:1][C:2]([H:3])=[C:4]([H:5])[H:6].[O:7][C:8]([H:9])([H:10])[H:11]>>[H:1][C:2]=[C:4]([H:5])[H:6].[H:3][O:7][C:8]([H:9])([H:10])[H:11],3.0853487189537727
[H:1].[H:2][C:3]#[C:4][H:5]>>[H:1][C:3]([H:2])=[C:4][H:5],6.9501073433306795
[H:1][C:2]#[C:3][H:4].[O:5][H:6]>>[C:2]#[C:3][H:4].[H:1][O:5][H:6],3.5834168006755633
[H:1][C:2]#[C:3][H:4].[O:5][H:6]>>[H:1][C:2]=[C:3]([H:4])[O:5][H:6],6.542257408133695
[H:1].[H:2][O:3][C:4]([H:5])([H:6])[C:7]([H:8])([H:9])[H:10]>>[H:1][H:6].[H:2][O:3][C:4]([H:5])[C:7]([H:8])([H:9])[H:10],5.998937609162757
[H:1].[H:2][O:3][C:4]([H:5])([H:6])[C:7]([H:8])([H:9])[H:10]>>[H:1][H:10].[H:2][O:3][C:4]([H:5])([H:6])[C:7]([H:8])[H:9],5.164118032921234
[H:1].[H:2][O:3][C:4]([H:5])([H:6])[C:7]([H:8])([H:9])[H:10]>>[H:1][H:2].[O:3][C:4]([H:5])([H:6])[C:7]([H:8])([H:9])[H:10],4.790135590267309
[H:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])([H:8])[H:9].[O:10][H:11]>>[H:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])[H:8].[H:9][O:10][H:11],6.10528647166759
[H:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])([H:8])[H:9].[O:10][H:11]>>[H:1][O:10][H:11].[O:2][C:3]([H:4])([H:5])[C:6]([H:7])([H:8])[H:9],5.760199001599186
[H:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])([H:8])[H:9].[O:10][O:11][H:12]>>[H:1][O:2][C:3]([H:4])[C:6]([H:7])([H:8])[H:9].[H:5][O:10][O:11][H:12],2.127541186566696
[H:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])([H:8])[H:9].[O:10][O:11][H:12]>>[H:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])[H:8].[H:9][O:10][O:11][H:12],1.248376862525931
[H:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])([H:8])[H:9].[O:10][O:11][C:12]([H:13])([H:14])[H:15]>>[H:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])[H:8].[H:9][O:10][O:11][C:12]([H:13])([H:14])[H:15],0.18681654597641367
[H:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])([H:8])[H:9].[O:10][O:11][C:12]([H:13])([H:14])[H:15]>>[H:1][O:2][C:3]([H:4])[C:6]([H:7])([H:8])[H:9].[H:5][O:10][O:11][C:12]([H:13])([H:14])[H:15],1.6553239680889713
[H:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])([H:8])[H:9].[O:10]>>[H:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])[H:8].[H:9][O:10],6.080826160168312
[H:1][O:2][C:3]([H:4])([H:5])[C:6]([H:7])([H:8])[H:9].[O:10]>>[H:1][O:10].[O:2][C:3]([H:4])([H:5])[C:6]([H:7])([H:8])[H:9],5.650106136178105
[H:1][C:2]([H:3])[H:4].[H:5][O:6][C:7]([H:8])([H:9])[C:10]([H:11])([H:12])[H:13]>>[H:1][C:2]([H:3])([H:4])[H:13].[H:5][O:6][C:7]([H:8])([H:9])[C:10]([H:11])[H:12],2.9445818284308363
[H:1][C:2]([H:3])[H:4].[H:5][O:6][C:7]([H:8])([H:9])[C:10]([H:11])([H:12])[H:13]>>[H:1][C:2]([H:3])([H:4])[H:9].[H:5][O:6][C:7]([H:8])[C:10]([H:11])([H:12])[H:13],3.37839062488643
[H:1][C:2]([H:3])[H:4].[H:5][O:6][C:7]([H:8])([H:9])[C:10]([H:11])([H:12])[H:13]>>[H:1][C:2]([H:3])([H:4])[H:5].[O:6][C:7]([H:8])([H:9])[C:10]([H:11])([H:12])[H:13],3.427494373793691
[H:1][C:2]([H:3])[C:4]([H:5])([H:6])[H:7].[H:8][O:9][C:10]([H:11])([H:12])[C:13]([H:14])([H:15])[H:16]>>[H:1][C:2]([H:3])([C:4]([H:5])([H:6])[H:7])[H:16].[H:8][O:9][C:10]([H:11])([H:12])[C:13]([H:14])[H:15],1.7225371248535082
[H:1][C:2]([H:3])[C:4]([H:5])([H:6])[H:7].[H:8][O:9][C:10]([H:11])([H:12])[C:13]([H:14])([H:15])[H:16]>>[H:1][C:2]([H:3])([C:4]([H:5])([H:6])[H:7])[H:12].[H:8][O:9][C:10]([H:11])[C:13]([H:14])([H:15])[H:16],1.9525828878439841
[H:1].[O:2]=[C:3]([H:4])[C:5]([H:6])([H:7])[H:8]>>[H:1][O:2][C:3]([H:4])[C:5]([H:6])([H:7])[H:8],5.194993422903106
[H:1][O:2][C:3]([H:4])[C:5]([H:6])([H:7])[H:8]>>[H:1][C:3]([O:2])([H:4])[C:5]([H:6])([H:7])[H:8],4.835175592639664
[O:11][H:12].[O:1]=[C:2]([C:3]([H:4])([H:5])[H:6])[C:7]([H:8])([H:9])[H:10]>>[H:6][O:11][H:12].[O:1]=[C:2]([C:3]([H:4])[H:5])[C:7]([H:8])([H:9])[H:10],6.135614693977413
[H:1].[O:2]=[C:3]([C:4]([H:5])([H:6])[H:7])[C:8]([H:9])([H:10])[H:11]>>[H:1][H:7].[O:2]=[C:3]([C:4]([H:5])[H:6])[C:8]([H:9])([H:10])[H:11],5.304042539633368
[O:1].[O:2]=[C:3]([C:4]([H:5])([H:6])[H:7])[C:8]([H:9])([H:10])[H:11]>>[O:1][H:7].[O:2]=[C:3]([C:4]([H:5])[H:6])[C:8]([H:9])([H:10])[H:11],5.9085272871957955
[H:1][C:2]([H:3])[H:4].[O:5]=[C:6]([C:7]([H:8])([H:9])[H:10])[C:11]([H:12])([H:13])[H:14]>>[H:1][C:2]([H:3])([H:4])[H:14].[O:5]=[C:6]([C:7]([H:8])([H:9])[H:10])[C:11]([H:12])[H:13],3.615179059641474
[O:11][C:12]([H:13])([H:14])[H:15].[O:1]=[C:2]([C:3]([H:4])([H:5])[H:6])[C:7]([H:8])([H:9])[H:10]>>[H:6][O:11][C:12]([H:13])([H:14])[H:15].[O:1]=[C:2]([C:3]([H:4])[H:5])[C:7]([H:8])([H:9])[H:10],3.3896766200920925
[O:11][O:12][H:13].[O:1]=[C:2]([C:3]([H:4])([H:5])[H:6])[C:7]([H:8])([H:9])[H:10]>>[H:6][O:11][O:12][H:13].[O:1]=[C:2]([C:3]([H:4])[H:5])[C:7]([H:8])([H:9])[H:10],1.014417288277594
[O:11][O:12][C:13]([H:14])([H:15])[H:16].[O:1]=[C:2]([C:3]([H:4])([H:5])[H:6])[C:7]([H:8])([H:9])[H:10]>>[H:6][O:11][O:12][C:13]([H:14])([H:15])[H:16].[O:1]=[C:2]([C:3]([H:4])[H:5])[C:7]([H:8])([H:9])[H:10],0.7339190454737698
[H:1][C:2]([H:3])[H:4].[O:5]=[C:6]=[C:7]([H:8])[H:9]>>[H:1][C:2]([H:3])([H:4])[C:6](=[O:5])[C:7]([H:8])[H:9],2.4708157608729917
[O:11][O:12][C:13]([H:14])([H:15])[C:16](=[O:17])[C:18]([H:19])([H:20])[H:21].[O:1]=[C:2]([C:3]([H:4])([H:5])[H:6])[C:7]([H:8])([H:9])[H:10]>>[H:6][O:11][O:12][C:13]([H:14])([H:15])[C:16](=[O:17])[C:18]([H:19])([H:20])[H:21].[O:1]=[C:2]([C:3]([H:4])[H:5])[C:7]([H:8])([H:9])[H:10],1.5907183131107265
[O:1]=[C:2]([H:3])[H:4].[O:5][O:6][C:7]([H:8])([H:9])[C:10](=[O:11])[C:12]([H:13])([H:14])[H:15]>>[H:4][O:5][O:6][C:7]([H:8])([H:9])[C:10](=[O:11])[C:12]([H:13])([H:14])[H:15].[O:1]=[C:2][H:3],3.340980327785655
[H:1].[O:2]=[C:3]([H:4])[C:5]([H:6])=[C:7]([H:8])[H:9]>>[H:1][H:4].[O:2]=[C:3][C:5]([H:6])=[C:7]([H:8])[H:9],6.408759044478328
[O:1]=[C:2]([H:3])[C:4]([H:5])=[C:6]([H:7])[H:8].[O:9][H:10]>>[H:3][O:9][H:10].[O:1]=[C:2][C:4]([H:5])=[C:6]([H:7])[H:8],6.739056560399438
[O:1]=[C:2]([H:3])[C:4]([H:5])=[C:6]([H:7])[H:8].[O:9][O:10][H:11]>>[H:3][O:9][O:10][H:11].[O:1]=[C:2][C:4]([H:5])=[C:6]([H:7])[H:8],2.5896234968743523
[H:1][C:2]([H:3])[H:4].[O:5]=[C:6]([H:7])[C:8]([H:9])=[C:10]([H:11])[H:12]>>[H:1][C:2]([H:3])([H:4])[H:7].[O:5]=[C:6][C:8]([H:9])=[C:10]([H:11])[H:12],3.7532554892424486
[H:1][C:2]=[C:3]([H:4])[H:5].[O:6]=[C:7]([H:8])[C:9]([H:10])=[C:11]([H:12])[H:13]>>[H:1][C:2](=[C:3]([H:4])[H:5])[H:8].[O:6]=[C:7][C:9]([H:10])=[C:11]([H:12])[H:13],4.877472319004672
[O:1]=[C:2]([H:3])[C:4]([H:5])=[C:6]([H:7])[H:8].[O:9][C:10]([H:11])([H:12])[H:13]>>[H:3][O:9][C:10]([H:11])([H:12])[H:13].[O:1]=[C:2][C:4]([H:5])=[C:6]([H:7])[H:8],4.881689009139002
[O:1]=[C:2]([H:3])[C:4]([H:5])=[C:6]([H:7])[H:8].[O:9][O:10][C:11]([H:12])([H:13])[H:14]>>[H:3][O:9][O:10][C:11]([H:12])([H:13])[H:14].[O:1]=[C:2][C:4]([H:5])=[C:6]([H:7])[H:8],2.205516833314041
[H:1].[O:2]=[C:3]([H:4])[C:5]([H:6])([H:7])[C:8]([H:9])([H:10])[H:11]>>[H:1][H:4].[O:2]=[C:3][C:5]([H:6])([H:7])[C:8]([H:9])([H:10])[H:11],6.6911507090263385
[H:1][C:2]([H:3])[H:4].[O:5]=[C:6]([H:7])[C:8]([H:9])([H:10])[C:11]([H:12])([H:13])[H:14]>>[H:1][C:2]([H:3])([H:4])[H:7].[O:5]=[C:6][C:8]([H:9])([H:10])[C:11]([H:12])([H:13])[H:14],4.019517140857504
[O:11][O:12][H:13].[O:1]=[C:2]([H:3])[C:4]([H:5])([H:6])[C:7]([H:8])([H:9])[H:10]>>[H:3][O:11][O:12][H:13].[O:1]=[C:2][C:4]([H:5])([H:6])[C:7]([H:8])([H:9])[H:10],3.8239516620137777
[O:11][O:12][C:13]([H:14])([H:15])[H:16].[O:1]=[C:2]([H:3])[C:4]([H:5])([H:6])[C:7]([H:8])([H:9])[H:10]>>[H:3][O:11][O:12][C:13]([H:14])([H:15])[H:16].[O:1]=[C:2][C:4]([H:5])([H:6])[C:7]([H:8])([H:9])[H:10],2.823940076573839
[H:1][C:2]([H:3])[C:4]([H:5])([H:6])[H:7].[O:8]=[C:9]([H:10])[C:11]([H:12])([H:13])[C:14]([H:15])([H:16])[H:17]>>[H:1][C:2]([H:3])([C:4]([H:5])([H:6])[H:7])[H:10].[O:8]=[C:9][C:11]([H:12])([H:13])[C:14]([H:15])([H:16])[H:17],2.6353392001119382
[H:1][C:2]=[C:3]([H:4])[H:5].[O:6]=[C:7]([H:8])[C:9]([H:10])([H:11])[C:12]([H:13])([H:14])[H:15]>>[H:1][C:2](=[C:3]([H:4])[H:5])[H:8].[O:6]=[C:7][C:9]([H:10])([H:11])[C:12]([H:13])([H:14])[H:15],5.402781374612088
[H:1].[H:2][C:3]([H:4])([H:5])[O:6][C:7]([H:8])([H:9])[H:10]>>[H:1][H:5].[H:2][C:3]([H:4])[O:6][C:7]([H:8])([H:9])[H:10],5.699724794328045
[H:1][C:2]([H:3])([H:4])[O:5][C:6]([H:7])([H:8])[H:9].[O:10]>>[H:1][C:2]([H:3])([H:4])[O:5][C:6]([H:7])[H:8].[H:9][O:10],7.072269504055404
[H:1][C:2]([H:3])([H:4])[O:5][C:6]([H:7])([H:8])[H:9].[O:10][O:11][H:12]>>[H:1][C:2]([H:3])([H:4])[O:5][C:6]([H:7])[H:8].[H:9][O:10][O:11][H:12],2.149073926223162
[H:1][C:2]([H:3])([H:4])[O:5][C:6]([H:7])([H:8])[H:9].[O:10][O:11][C:12]([H:13])([H:14])[H:15]>>[H:1][C:2]([H:3])([H:4])[O:5][C:6]([H:7])[H:8].[H:9][O:10][O:11][C:12]([H:13])([H:14])[H:15],1.6388776120233481
[H:10][C:11]([H:12])[H:13].[H:1][C:2]([H:3])([H:4])[O:5][C:6]([H:7])([H:8])[H:9]>>[H:1][C:2]([H:3])([H:4])[O:5][C:6]([H:7])[H:8].[H:9][C:11]([H:10])([H:12])[H:13],3.0623505442892727
[H:1][C:2]([H:3])([H:4])[O:5][C:6]([H:7])([H:8])[H:9].[O:10][C:11]([H:12])([H:13])[H:14]>>[H:1][C:2]([H:3])([H:4])[O:5][C:6]([H:7])[H:8].[H:9][O:10][C:11]([H:12])([H:13])[H:14],3.9696408229035076
[H:1][C:2]([H:3])([H:4])[O:5][C:6]([H:7])([H:8])[H:9].[O:10][O:11][C:12](=[O:13])[H:14]>>[H:1][C:2]([H:3])([H:4])[O:5][C:6]([H:7])[H:8].[H:9][O:10][O:11][C:12](=[O:13])[H:14],3.6495495133613622
